OrderID,OrderDate, UnitCost ,Price,OrderQty, CostofSales , Sales , Profit ,Channel,PromotionName,ProductName,Manufacturer,ProductSubCategory,ProductCategory,Region,City,Country
1,01-11-2020, $10.30 ,198,8, $82.38 ," $1,544.40 "," $1,462.02 ",Store,European Holiday Promotion,A. Datum Point Shoot Digital Camera M500 Black,A. Datum Corporation,Digital Cameras,Cameras and camcorders ,Europe,Baildon,United Kingdom
2,07-08-2019, $11.83 ,19.9,4, $47.30 , $78.61 , $31.30 ,Reseller,North America Spring Promotion,Contoso Battery charger - bike E200 Black,"Contoso, Ltd",Computers Accessories,Computers,North America,Seattle,United States
3,02-11-2020, $126.85 ,410,9," $1,141.62 "," $3,628.50 "," $2,486.88 ",Store,North America Spring Promotion,Fabrikam Budget Moviemaker 2/3'' 17mm E100 White,"Fabrikam, Inc.",Camcorders,Cameras and camcorders ,Europe,Cambridge,United Kingdom
4,03-11-2020, $188.95 ,289,8," $1,511.63 "," $2,254.20 ", $742.57 ,Online,European Holiday Promotion,The Phone Company Touch Screen Phones 4-Wire/On-wall M302 Grey,The Phone Company,Touch Screen Phones ,Cell phones,Europe,Berlin,Germany
5,05-11-2020, $124.98 ,436.2,24," $2,999.54 "," $10,207.08 "," $7,207.54 ",Online,European Holiday Promotion,"Fabrikam SLR Camera 35"" X358 Blue","Fabrikam, Inc.",Digital SLR Cameras,Cameras and camcorders ,Europe,Berlin,Germany
7,07-11-2020, $20.13 ,148,6, $120.77 , $843.60 , $722.83 ,Reseller,Asian Holiday Promotion,A. Datum Slim Digital Camera M180 Green,A. Datum Corporation,Digital Cameras,Cameras and camcorders ,Asia,Beijing,China
8,09-10-2018, $310.95 ,499.99,9," $2,798.52 "," $4,399.91 "," $1,601.39 ",Online,Asian Spring Promotion,"Adventure Works 32"" LCD HDTV M130 Black",Adventure Works,Televisions,TV and Video,Asia,Beijing,China
10,26-01-2018, $95.05 ,99,18," $1,710.96 "," $1,702.80 ", $-8.16 ,Reseller,Asian Spring Promotion,Adventure Works LCD17 E200 Black,Adventure Works,Monitors,Computers,Asia,Beijing,China
12,10-11-2020, $166.59 ,229,10," $1,665.86 "," $2,290.00 ", $624.14 ,Store,No Discount,Proseware Projector 480p LCD12 Black,"Proseware, Inc.",Projectors & Screens,Computers,North America,Buffalo,United States
13,12-11-2020, $40.44 ,236,12, $485.26 ," $2,832.00 "," $2,346.74 ",Store,North America Back-to-School Promotion,Proseware Slim-Design Fax Machine with Answering System X180 Green,"Proseware, Inc.","Printers, Scanners & Fax",Computers,North America,South Portland,United States
14,17-11-2020, $15.60 ,49.96,13, $202.79 , $639.49 , $436.70 ,Store,North America Holiday Promotion,Contoso Carrying Case E312 Blue,"Contoso, Ltd",Cameras & Camcorders Accessories,Cameras and camcorders ,North America,Everett,United States
17,21-09-2019, $97.91 ,289.99,9, $881.16 ," $2,609.91 "," $1,728.75 ",Store,North America Spring Promotion,Contoso DVD 15-Inch Player Portable L200 Silver,"Contoso, Ltd",Movie DVD,"Music, Movies and Audio Books",North America,Holyoke,United States
19,25-08-2020, $374.35 ,619,12," $4,492.23 "," $7,428.00 "," $2,935.77 ",Store,No Discount,WWI LCD22 M2002 Black,Wide World Importers,Monitors,Computers,Asia,Thimphu,Bhutan
20,01-05-2018, $73.92 ,149.95,20," $1,478.37 "," $2,999.00 "," $1,520.63 ",Store,No Discount,WWI 1GBPulse Smart pen E50 Black,Wide World Importers,Recording Pen,Audio,Europe,Moscow,Russia
21,17-06-2018, $131.44 ,199.95,26," $3,417.48 "," $5,158.71 "," $1,741.23 ",Store,North America Holiday Promotion,WWI 2GB Pulse Smart pen M100 White,Wide World Importers,Recording Pen,Audio,North America,Manitowoc,United States
22,25-01-2019, $45.45 ,126.9,9, $409.06 ," $1,129.41 ", $720.35 ,Store,North America Spring Promotion,SV 16xDVD M360 Silver,Southridge Video,VCD & DVD,TV and Video,North America,Framingham,United States
23,21-11-2020, $1.32 ,209,9, $11.86 ," $1,881.00 "," $1,869.14 ",Online,North America Spring Promotion,Proseware Laser Jet Color Printer X300 White,"Proseware, Inc.","Printers, Scanners & Fax",Computers,North America,Bethesda,United States
24,28-11-2020, $89.35 ,190,9, $804.14 ," $1,672.00 ", $867.86 ,Online,North America Spring Promotion,Proseware Screen 100in M1609 Silver,"Proseware, Inc.",Projectors & Screens,Computers,North America,Bethesda,United States
28,30-11-2020, $24.25 ,40.19,13, $315.23 , $522.47 , $207.24 ,Store,North America Holiday Promotion,Contoso Expandable 2-Handset Cordless Phone System M205 White,"Contoso, Ltd",Home & Office Phones,Cell phones,North America,Bellevue,United States
29,02-12-2020, $7.78 ,366.55,6, $46.65 ," $2,199.30 "," $2,152.65 ",Store,North America Holiday Promotion,Contoso Macro Zoom Lens X300 Silver,"Contoso, Ltd",Cameras & Camcorders Accessories,Cameras and camcorders ,North America,Kennewick,United States
30,20-03-2019, $530.74 ,699,13," $6,899.68 "," $8,982.15 "," $2,082.47 ",Store,Asian Holiday Promotion,Adventure Works Laptop15 M1500 Black,Adventure Works,Laptops,Computers,Asia,Taipei,Taiwan
32,18-02-2020, $432.32 ,659,8," $3,458.58 "," $4,744.80 "," $1,286.22 ",Store,European Holiday Promotion,Fabrikam Laptop15.4 M5400 White,"Fabrikam, Inc.",Laptops,Computers,Europe,Torino,Italy
33,05-12-2020, $5.23 ,11.9,18, $94.20 , $212.42 , $118.21 ,Store,North America Spring Promotion,Contoso 90W AC/DC Power Adapter E300 Grey,"Contoso, Ltd",Computers Accessories,Computers,North America,Litchfield County,United States
34,17-01-2020, $67.23 ,208,10, $672.29 ," $2,080.00 "," $1,407.71 ",Store,No Discount,The Phone Company Smart phones 160x160 M26 White,The Phone Company,Smart phones & PDAs ,Cell phones,Europe,Leeds,United Kingdom
36,18-05-2020, $80.55 ,699,10, $805.53 ," $6,990.00 "," $6,184.47 ",Online,No Discount,Contoso Projector 720p M620 White,"Contoso, Ltd",Projectors & Screens,Computers,North America,Bethesda,United States
37,08-12-2020, $54.79 ,358,10, $547.94 ," $3,580.00 "," $3,032.06 ",Store,No Discount,"Contoso SLR Camera 35"" M358 Blue","Contoso, Ltd",Digital SLR Cameras,Cameras and camcorders ,Europe,Moscow,Russia
39,10-12-2020, $36.77 ,338,12, $441.18 ," $3,954.60 "," $3,513.42 ",Store,North America Back-to-School Promotion,"A. Datum SLR Camera 35"" M358 Silver",A. Datum Corporation,Digital SLR Cameras,Cameras and camcorders ,North America,Parkville,United States
43,13-03-2019, $207.99 ,599,9," $1,871.94 "," $5,301.15 "," $3,429.21 ",Store,North America Spring Promotion,Litware Home Theater System 5.1 Channel M514 Black,"Litware, Inc.",Home Theater System,TV and Video,North America,Ottawa,Canada
44,22-05-2020, $190.25 ,251,9," $1,712.25 "," $2,158.60 ", $446.35 ,Online,Asian Spring Promotion,WWI Screen 106in M1609 White,Wide World Importers,Projectors & Screens,Computers,Asia,Beijing,China
45,17-03-2019, $148.77 ,579,9," $1,338.90 "," $5,095.20 "," $3,756.30 ",Store,North America Spring Promotion,Litware Home Theater System 5.1 Channel M516 Black,"Litware, Inc.",Home Theater System,TV and Video,North America,Sedalia,United States
46,28-02-2019, $33.25 ,689,18, $598.48 ," $12,298.65 "," $11,700.17 ",Reseller,North America Spring Promotion,Litware Home Theater System 5.1 Channel M513 Black,"Litware, Inc.",Home Theater System,TV and Video,North America,Seattle,United States
47,12-12-2020, $32.32 ,302,12, $387.81 ," $3,533.40 "," $3,145.59 ",Store,North America Back-to-School Promotion,The Phone Company PDA Phone Unlocked 4.7 inches L550 Black,The Phone Company,Smart phones & PDAs ,Cell phones,North America,Poestenkill,United States
49,13-12-2020," $1,347.51 ",2499,9," $12,127.61 "," $22,366.05 "," $10,238.44 ",Store,North America Spring Promotion,Proseware Projector 1080p DLP86 Silver,"Proseware, Inc.",Projectors & Screens,Computers,North America,Provincetown,United States
50,14-12-2020, $77.24 ,79,6, $463.46 , $442.40 , $-21.06 ,Store,Asian Summer Promotion,Proseware Fax Machine E100 White,"Proseware, Inc.","Printers, Scanners & Fax",Computers,Asia,Damascus,Syria
52,28-01-2020, $249.94 ,967,10," $2,499.44 "," $9,670.00 "," $7,170.56 ",Store,No Discount,Fabrikam Laptop16W M6080 Black,"Fabrikam, Inc.",Laptops,Computers,North America,Newark,United States
53,14-01-2019, $96.40 ,116,10, $964.01 ," $1,160.00 ", $195.99 ,Store,No Discount,Proseware Mobile Receipt and Document Scanner M200 White,"Proseware, Inc.","Printers, Scanners & Fax",Computers,North America,Brooklyn,United States
54,17-12-2020, $57.09 ,480.5,10, $570.90 ," $4,805.00 "," $4,234.10 ",Online,No Discount,Fabrikam SLR Camera X150 Orange,"Fabrikam, Inc.",Digital SLR Cameras,Cameras and camcorders ,North America,Bethesda,United States
56,18-12-2020, $112.76 ,499,8, $902.10 ," $3,692.60 "," $2,790.50 ",Store,European Holiday Promotion,Proseware Projector 480p DLP12 Black,"Proseware, Inc.",Projectors & Screens,Computers,Europe,Torino,Italy
58,18-09-2017, $77.99 ,299,24," $1,871.64 "," $7,056.40 "," $5,184.76 ",Online,Asian Summer Promotion,SV Car Video TFT7 M7000 Silver,Southridge Video,Car Video,TV and Video,Asia,Beijing,China
59,04-06-2020, $2.81 ,258,20, $56.12 ," $5,160.00 "," $5,103.88 ",Catalog,No Discount,The Phone Company Touch Screen Phones 5-Wire/On-wall M508 Grey,The Phone Company,Touch Screen Phones ,Cell phones,North America,North Harford,United States
60,12-05-2018, $3.22 ,255,12, $38.61 ," $3,034.50 "," $2,995.89 ",Store,North America Back-to-School Promotion,Contoso 32GB Video MP3 Player M3200 Pink,"Contoso, Ltd",MP4&MP3,Audio,North America,Alexandria,United States
61,12-12-2017, $101.86 ,269.9,12," $1,222.31 "," $3,225.31 "," $2,003.00 ",Online,North America Spring Promotion,WWI Desktop PC1.80 E1801 Black,Wide World Importers,Desktops,Computers,North America,Bethesda,United States
